All Layer Optical Constants
Wavelength (nm)	e1, Ordinary, Biaxial	e1, Extra-ordinary, Biaxial	e2, Ordinary, Biaxial	e2, Extra-ordinary, Biaxial
328.000000	4.267743	-0.867373	4.723100	2.831805	
329.000000	4.274563	-0.999346	4.696529	2.908357	
330.000000	4.280852	-1.142193	4.670249	3.000923	
331.000000	4.286624	-1.294977	4.644264	3.112785	
332.000000	4.291896	-1.456075	4.618577	3.247391	
333.000000	4.296681	-1.623079	4.593193	3.408226	
334.000000	4.300996	-1.792719	4.568112	3.598639	
335.000000	4.304854	-1.960826	4.543339	3.821647	
336.000000	4.308270	-2.122342	4.518874	4.079710	
337.000000	4.311258	-2.271382	4.494720	4.374502	
338.000000	4.313832	-2.401364	4.470878	4.706676	
339.000000	4.316005	-2.505193	4.447349	5.075663	
340.000000	4.317791	-2.575515	4.424133	5.479492	
341.000000	4.319201	-2.605010	4.401230	5.914687	
342.000000	4.320249	-2.586734	4.378641	6.376213	
343.000000	4.320947	-2.514465	4.356365	6.857518	
344.000000	4.321307	-2.383061	4.334402	7.350658	
345.000000	4.321340	-2.188780	4.312751	7.846504	
346.000000	4.321059	-1.929556	4.291410	8.335036	
347.000000	4.320474	-1.605207	4.270379	8.805698	
348.000000	4.319595	-1.217553	4.249656	9.247804	
349.000000	4.318435	-0.770441	4.229239	9.650963	
350.000000	4.317002	-0.269666	4.209127	10.005513	
351.000000	4.315307	0.277204	4.189317	10.302924	
352.000000	4.313360	0.861097	4.169807	10.536144	
353.000000	4.311169	1.471772	4.150595	10.699890	
354.000000	4.308745	2.098215	4.131678	10.790838	
355.000000	4.306096	2.729059	4.113054	10.807725	
356.000000	4.303230	3.353014	4.094719	10.751352	
357.000000	4.300157	3.959275	4.076672	10.624496	
358.000000	4.296884	4.537899	4.058908	10.431722	
359.000000	4.293419	5.080109	4.041426	10.179145	
360.000000	4.289771	5.578539	4.024221	9.874124	
361.000000	4.285945	6.027406	4.007290	9.524927	
