All Layer Optical Constants
Wavelength (nm)	e1, Ordinary, Biaxial	e1, Extra-ordinary, Biaxial	e2, Ordinary, Biaxial	e2, Extra-ordinary, Biaxial
327.000000	5.007127	-6.689796	4.744135	7.992653	
328.000000	5.006187	-7.512784	4.732241	7.836892	
329.000000	5.005102	-8.401503	4.720507	7.652144	
330.000000	5.003876	-9.370780	4.708931	7.432227	
331.000000	5.002511	-10.440032	4.697511	7.170760	
332.000000	5.001012	-11.634715	4.686243	6.861820	
333.000000	4.999381	-12.988137	4.675124	6.501138	
334.000000	4.997620	-14.543605	4.664152	6.088195	
335.000000	4.995733	-16.356716	4.653324	5.629682	
336.000000	4.993723	-18.497297	4.642638	5.144867	
337.000000	4.991592	-21.050081	4.632090	4.673349	
338.000000	4.989342	-24.112715	4.621677	4.285364	
339.000000	4.986974	-27.789122	4.611398	4.094091	
340.000000	4.984493	-32.176205	4.601250	4.268297	
341.000000	4.981899	-37.342316	4.591228	5.042178	
342.000000	4.979193	-43.297157	4.581333	6.717868	
343.000000	4.976377	-49.955418	4.571560	9.655232	
344.000000	4.973454	-57.099407	4.561907	14.244043	
345.000000	4.970424	-64.349304	4.552372	20.855991	
346.000000	4.967289	-71.151649	4.542952	29.778328	
347.000000	4.964050	-76.796417	4.533645	41.136692	
348.000000	4.960706	-80.469521	4.524448	54.820442	
349.000000	4.957261	-81.340790	4.515359	70.427711	
350.000000	4.953713	-78.678612	4.506376	87.247459	
351.000000	4.950066	-71.973694	4.497497	104.291245	
352.000000	4.946316	-61.048527	4.488719	120.378006	
353.000000	4.942467	-46.128567	4.480040	134.263718	
354.000000	4.938518	-27.856497	4.471458	144.796265	
355.000000	4.934469	-7.241733	4.462971	151.068390	
356.000000	4.930321	14.448994	4.454578	152.540604	
357.000000	4.926073	35.841854	4.446277	149.110641	
358.000000	4.921725	55.620121	4.438064	141.118042	
359.000000	4.917277	72.673462	4.429940	129.284851	
360.000000	4.912728	86.208191	4.421902	114.606636	
361.000000	4.908078	95.803757	4.413949	98.216270	
362.000000	4.903328	101.412422	4.406078	81.245293	
363.000000	4.898475	103.310150	4.398290	64.705200	
364.000000	4.893519	102.014000	4.390582	49.403793	
365.000000	4.888460	98.184753	4.382954	35.902645	
366.000000	4.883296	92.532127	4.375403	24.513632	
367.000000	4.878027	85.735779	4.367930	15.326202	
368.000000	4.872651	78.389221	4.360533	8.254025	
369.000000	4.867166	70.968628	4.353212	3.089396	
370.000000	4.861573	63.823536	4.345966	-0.444099	
371.000000	4.855869	57.184292	4.338794	-2.647208	
372.000000	4.850053	51.179916	4.331697	-3.812027	
373.000000	4.844123	45.860649	4.324673	-4.200875	
374.000000	4.838078	41.220764	4.317723	-4.035529	
375.000000	4.831917	37.218739	4.310847	-3.494397	
376.000000	4.825637	33.793377	4.304046	-2.714977	
377.000000	4.819237	30.875544	4.297319	-1.799246	
378.000000	4.812715	28.395985	4.290668	-0.820187	
379.000000	4.806069	26.289898	4.284092	0.171765	
380.000000	4.799298	24.499216	4.277594	1.143034	
381.000000	4.792399	22.973362	4.271173	2.072244	
382.000000	4.785371	21.669043	4.264833	2.946624	
383.000000	4.778213	20.549610	4.258574	3.759341	
384.000000	4.770921	19.584215	4.252397	4.507599	
385.000000	4.763495	18.746969	4.246305	5.191308	
386.000000	4.755933	18.016136	4.240301	5.812166	
387.000000	4.748232	17.373484	4.234385	6.373032	
388.000000	4.740393	16.803732	4.228562	6.877492	
389.000000	4.732412	16.294069	4.222834	7.329562	
390.000000	4.724290	15.833777	4.217204	7.733466	
391.000000	4.716024	15.413913	4.211675	8.093485	
392.000000	4.707613	15.027042	4.206251	8.413847	
393.000000	4.699056	14.667009	4.200935	8.698635	
394.000000	4.690353	14.328762	4.195731	8.951737	
395.000000	4.681503	14.008178	4.190644	9.176801	
396.000000	4.672506	13.701917	4.185677	9.377206	
397.000000	4.663361	13.407292	4.180836	9.556052	
398.000000	4.654068	13.122170	4.176124	9.716156	
399.000000	4.644628	12.844867	4.171546	9.860050	
400.000000	4.635041	12.574080	4.167109	9.989996	
401.000000	4.625308	12.308803	4.162815	10.107994	
402.000000	4.615429	12.048264	4.158671	10.215804	
403.000000	4.605408	11.791887	4.154683	10.314960	
404.000000	4.595245	11.539242	4.150854	10.406791	
405.000000	4.584941	11.290008	4.147192	10.492440	
406.000000	4.574500	11.043960	4.143701	10.572889	
407.000000	4.563924	10.800941	4.140388	10.648968	
408.000000	4.553216	10.560839	4.137257	10.721380	
409.000000	4.542381	10.323577	4.134314	10.790716	
410.000000	4.531421	10.089097	4.131565	10.857469	
411.000000	4.520340	9.857357	4.129015	10.922046	
412.000000	4.509144	9.628327	4.126671	10.984785	
413.000000	4.497837	9.401967	4.124536	11.045964	
414.000000	4.486424	9.178261	4.122617	11.105806	
415.000000	4.474912	8.957151	4.120918	11.164495	
416.000000	4.463306	8.738594	4.119445	11.222176	
417.000000	4.451613	8.522530	4.118201	11.278964	
418.000000	4.439839	8.308895	4.117193	11.334952	
419.000000	4.427992	8.097630	4.116423	11.390213	
420.000000	4.416079	7.888666	4.115895	11.444799	
421.000000	4.404108	7.681932	4.115614	11.498754	
422.000000	4.392087	7.477353	4.115583	11.552108	
423.000000	4.380024	7.274848	4.115805	11.604883	
424.000000	4.367930	7.074334	4.116282	11.657095	
425.000000	4.355811	6.875738	4.117016	11.708755	
426.000000	4.343678	6.678972	4.118010	11.759866	
427.000000	4.331539	6.483950	4.119265	11.810432	
428.000000	4.319406	6.290581	4.120781	11.860455	
429.000000	4.307286	6.098774	4.122560	11.909929	
430.000000	4.295192	5.908436	4.124601	11.958854	
431.000000	4.283132	5.719466	4.126904	12.007223	
432.000000	4.271118	5.531775	4.129468	12.055032	
433.000000	4.259159	5.345273	4.132292	12.102275	
434.000000	4.247265	5.159870	4.135373	12.148946	
435.000000	4.235447	4.975477	4.138709	12.195039	
436.000000	4.223715	4.792007	4.142296	12.240547	
437.000000	4.212080	4.609373	4.146132	12.285464	
438.000000	4.200551	4.427491	4.150213	12.329784	
439.000000	4.189140	4.246284	4.154533	12.373503	
440.000000	4.177855	4.065671	4.159087	12.416612	
441.000000	4.166707	3.885569	4.163870	12.459107	
442.000000	4.155705	3.705894	4.168876	12.500984	
443.000000	4.144858	3.526567	4.174098	12.542236	
444.000000	4.134177	3.347503	4.179528	12.582860	
445.000000	4.123668	3.168617	4.185160	12.622851	
446.000000	4.113342	2.989826	4.190984	12.662206	
447.000000	4.103207	2.811055	4.196992	12.700918	
448.000000	4.093269	2.632226	4.203176	12.738987	
449.000000	4.083537	2.453263	4.209526	12.776409	
450.000000	4.074017	2.274090	4.216031	12.813180	
451.000000	4.064715	2.094631	4.222682	12.849298	
452.000000	4.055639	1.914813	4.229468	12.884761	
453.000000	4.046793	1.734565	4.236379	12.919566	
454.000000	4.038183	1.553820	4.243403	12.953712	
455.000000	4.029814	1.372503	4.250528	12.987197	
456.000000	4.021688	1.190543	4.257743	13.020020	
457.000000	4.013811	1.007864	4.265037	13.052179	
458.000000	4.006184	0.824395	4.272397	13.083675	
459.000000	3.998811	0.640062	4.279809	13.114508	
460.000000	3.991692	0.454784	4.287264	13.144674	
461.000000	3.984830	0.268489	4.294747	13.174176	
462.000000	3.978225	0.081101	4.302247	13.203013	
463.000000	3.971877	-0.107448	4.309751	13.231187	
464.000000	3.965786	-0.297233	4.317245	13.258697	
465.000000	3.959950	-0.488327	4.324718	13.285544	
466.000000	3.954369	-0.680802	4.332158	13.311730	
467.000000	3.949039	-0.874734	4.339550	13.337256	
468.000000	3.943958	-1.070195	4.346885	13.362124	
469.000000	3.939123	-1.267255	4.354149	13.386335	
470.000000	3.934529	-1.465984	4.361330	13.409892	
471.000000	3.930173	-1.666459	4.368416	13.432796	
472.000000	3.926050	-1.868758	4.375397	13.455052	
473.000000	3.922154	-2.072955	4.382259	13.476661	
474.000000	3.918480	-2.279130	4.388994	13.497626	
475.000000	3.915019	-2.487362	4.395589	13.517951	
476.000000	3.911767	-2.697738	4.402034	13.537640	
477.000000	3.908715	-2.910341	4.408319	13.556696	
478.000000	3.905856	-3.125252	4.414436	13.575124	
479.000000	3.903181	-3.342555	4.420372	13.592929	
480.000000	3.900683	-3.562335	4.426122	13.610114	
481.000000	3.898352	-3.784677	4.431674	13.626686	
482.000000	3.896179	-4.009669	4.437022	13.642651	
483.000000	3.894156	-4.237399	4.442158	13.658013	
484.000000	3.892270	-4.467957	4.447074	13.672781	
485.000000	3.890513	-4.701436	4.451764	13.686960	
486.000000	3.888874	-4.937922	4.456221	13.700559	
487.000000	3.887343	-5.177510	4.460439	13.713583	
488.000000	3.885908	-5.420295	4.464413	13.726043	
489.000000	3.884560	-5.666378	4.468139	13.737947	
490.000000	3.883287	-5.915860	4.471611	13.749306	
491.000000	3.882078	-6.168847	4.474825	13.760128	
492.000000	3.880921	-6.425443	4.477780	13.770425	
493.000000	3.879806	-6.685761	4.480471	13.780209	
494.000000	3.878720	-6.949919	4.482895	13.789493	
495.000000	3.877652	-7.218029	4.485053	13.798288	
496.000000	3.876590	-7.490209	4.486940	13.806611	
497.000000	3.875525	-7.766577	4.488557	13.814477	
498.000000	3.874443	-8.047258	4.489904	13.821900	
499.000000	3.873333	-8.332376	4.490980	13.828901	
500.000000	3.872185	-8.622064	4.491785	13.835496	
501.000000	3.870988	-8.916449	4.492321	13.841706	
502.000000	3.869730	-9.215672	4.492588	13.847552	
503.000000	3.868400	-9.519868	4.492589	13.853057	
504.000000	3.866988	-9.829180	4.492326	13.858246	
505.000000	3.865482	-10.143751	4.491801	13.863143	
506.000000	3.863873	-10.463736	4.491018	13.867778	
507.000000	3.862150	-10.789286	4.489979	13.872179	
508.000000	3.860303	-11.120565	4.488688	13.876378	
509.000000	3.858324	-11.457735	4.487151	13.880408	
510.000000	3.856201	-11.800969	4.485370	13.884306	
511.000000	3.853926	-12.150436	4.483351	13.888109	
512.000000	3.851490	-12.506340	4.481099	13.891858	
513.000000	3.848885	-12.868840	4.478620	13.895596	
514.000000	3.846102	-13.238138	4.475918	13.899368	
515.000000	3.843132	-13.614429	4.473000	13.903222	
516.000000	3.839967	-13.997912	4.469872	13.907210	
517.000000	3.836601	-14.388797	4.466541	13.911387	
518.000000	3.833025	-14.787295	4.463012	13.915810	
519.000000	3.829234	-15.193626	4.459294	13.920539	
520.000000	3.825221	-15.608017	4.455393	13.925639	
521.000000	3.820978	-16.030701	4.451316	13.931179	
522.000000	3.816501	-16.461916	4.447071	13.937228	
523.000000	3.811784	-16.901911	4.442664	13.943864	
524.000000	3.806821	-17.350933	4.438105	13.951165	
525.000000	3.801608	-17.809250	4.433400	13.959215	
526.000000	3.796139	-18.277126	4.428557	13.968102	
527.000000	3.790410	-18.754848	4.423585	13.977919	
528.000000	3.784418	-19.242702	4.418491	13.988761	
529.000000	3.778159	-19.740988	4.413283	14.000731	
530.000000	3.771629	-20.250015	4.407970	14.013933	
531.000000	3.764825	-20.770102	4.402560	14.028481	
532.000000	3.757745	-21.301580	4.397060	14.044490	
533.000000	3.750387	-21.844799	4.391479	14.062079	
534.000000	3.742747	-22.400112	4.385825	14.081377	
535.000000	3.734825	-22.967886	4.380106	14.102514	
